NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,COLLET,Patricia,Mme,DSV,Droite souverainiste,387,"   1,12","   0,53",non,07201,07201,72001
2,PICOULEAU,Edwige,Mme,RN,Rassemblement National,6150,"  17,87","   8,37",non,07201,07201,72001
3,CORTÉS,Yves,M.,UDI,Union des Démocrates et des Indépendants,424,"   1,23","   0,58",non,07201,07201,72001
4,FOUÉRÉ,Stéphane,M.,DVG,Divers gauche,519,"   1,51","   0,71",non,07201,07201,72001
5,DELPECH,Julie,Mme,ENS,Ensemble ! (Majorité présidentielle),8517,"  24,75","  11,59",Bal.,07201,07201,72001
6,DUJARDIN,Brigitte,Mme,REC,Reconquête !,1247,"   3,62","   1,70",non,07201,07201,72001
7,LABRETTE-MÉNAGER,Fabienne,Mme,LR,Les Républicains,6000,"  17,44","   8,16",non,07201,07201,72001
8,BÉNAUD,Dylan,M.,DVG,Divers gauche,2903,"   8,44","   3,95",non,07201,07201,72001
9,MAILLET,Sylvie,Mme,DXG,Divers extrême gauche,356,"   1,03","   0,48",non,07201,07201,72001
10,BONNET,Ghislaine,Mme,NUP,Nouvelle union populaire écologique et sociale,7903,"  22,97","  10,75",Bal.,07201,07201,72001
