NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,FRANÇOIS,Pierre,M.,RN,Rassemblement National,5805,"  18,10","   9,08",Bal.,08803,08803,88003
2,ERB,Anne-Caroline,Mme,REC,Reconquête !,721,"   2,25","   1,13",non,08803,08803,88003
3,VILLEMIN,Stéphanie,Mme,ENS,Ensemble ! (Majorité présidentielle),3758,"  11,72","   5,88",non,08803,08803,88003
4,PIERRAT,Béatrice,Mme,NUP,Nouvelle union populaire écologique et sociale,5669,"  17,68","   8,87",non,08803,08803,88003
5,NAEGELEN,Christophe,M.,DVD,Divers droite,15135,"  47,20","  23,67",Bal.,08803,08803,88003
6,ZIRGEL,Félix,M.,REG,Régionaliste,250,"   0,78","   0,39",non,08803,08803,88003
7,BAILLY,Stéphanie,Mme,DXG,Divers extrême gauche,278,"   0,87","   0,43",non,08803,08803,88003
8,COLLIN DUPARCQ,Marina,Mme,DSV,Droite souverainiste,447,"   1,39","   0,70",non,08803,08803,88003
