NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,BEAUPRÉ,Michel,M.,REG,Régionaliste,971,"   2,21","   1,16",non,02904,02904,29004
2,VULPIANI,Sylvaine,Mme,NUP,Nouvelle union populaire écologique et sociale,13625,"  30,98","  16,22",Bal.,02904,02904,29004
3,HÉNAFF,Marie-Claire,Mme,LR,Les Républicains,5078,"  11,55","   6,04",non,02904,02904,29004
4,BERGAMI,Jérôme,M.,REC,Reconquête !,1054,"   2,40","   1,25",non,02904,02904,29004
5,ENFROY,Guillaume,M.,DIV,Divers,33,"   0,08","   0,04",non,02904,02904,29004
6,LEMÉNICIER,Jean-François,M.,ECO,Ecologistes,732,"   1,66","   0,87",non,02904,02904,29004
7,PAYRAUD,Michel,M.,DVC,Divers centre,908,"   2,06","   1,08",non,02904,02904,29004
8,RENOU,Monique,Mme,DSV,Droite souverainiste,474,"   1,08","   0,56",non,02904,02904,29004
9,LE FEUR,Sandrine,Mme,ENS,Ensemble ! (Majorité présidentielle),15295,"  34,78","  18,21",Bal.,02904,02904,29004
10,BIHOUEE,Tony,M.,RN,Rassemblement National,5181,"  11,78","   6,17",non,02904,02904,29004
11,BLOSSE,Patricia,Mme,DXG,Divers extrême gauche,623,"   1,42","   0,74",non,02904,02904,29004
