NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,SAINT-OLYMPE,Chantal,Mme,DVG,Divers gauche,212,"   1,32","   0,26",non,97202,97202,ZB002
2,NADEAU,Marcellin,M.,REG,Régionaliste,4436,"  27,56","   5,54",Bal.,97202,97202,ZB002
3,VARASSE,Karine,Mme,DVG,Divers gauche,2127,"  13,21","   2,66",non,97202,97202,ZB002
4,FERRATY,Max,M.,RN,Rassemblement National,598,"   3,71","   0,75",non,97202,97202,ZB002
5,RODAP,Astrid,Mme,UDI,Union des Démocrates et des Indépendants,318,"   1,98","   0,40",non,97202,97202,ZB002
6,SELLAYE,Marcel,M.,DXG,Divers extrême gauche,155,"   0,96","   0,19",non,97202,97202,ZB002
7,ROTSEN,Jean-Baptiste Joseph,M.,DVG,Divers gauche,3130,"  19,44","   3,91",non,97202,97202,ZB002
8,PAMPHILE,Justin,M.,REG,Régionaliste,4160,"  25,84","   5,20",Bal.,97202,97202,ZB002
9,JEAN-ELIE,Barbara,Mme,DVG,Divers gauche,721,"   4,48","   0,90",non,97202,97202,ZB002
10,DUFEAL,Gaétan Alex,M.,DXG,Divers extrême gauche,117,"   0,73","   0,15",non,97202,97202,ZB002
11,BELLAME,Cynthia,Mme,REC,Reconquête !,123,"   0,76","   0,15",non,97202,97202,ZB002
