NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,DIOUARA,Aly,M.,DIV,Divers,1768,"   8,70","   2,72",non,09304,09304,93004
2,LEY,Marlène,Mme,DXG,Divers extrême gauche,205,"   1,01","   0,31",non,09304,09304,93004
3,TAÏBI,Azzédine,M.,DVG,Divers gauche,4355,"  21,43","   6,69",Bal.,09304,09304,93004
4,BOUROUAHA,Soumya,Mme,NUP,Nouvelle union populaire écologique et sociale,7341,"  36,13","  11,28",Bal.,09304,09304,93004
5,SOURDILLAT,Stéphane,M.,ECO,Ecologistes,271,"   1,33","   0,42",non,09304,09304,93004
6,DESBOEUF,Sabine,Mme,DXG,Divers extrême gauche,82,"   0,40","   0,13",non,09304,09304,93004
7,LÉVÊQUE,Colette,Mme,RN,Rassemblement National,2290,"  11,27","   3,52",non,09304,09304,93004
8,ECH-CHETOUANI,Zouhairr,M.,DIV,Divers,178,"   0,88","   0,27",non,09304,09304,93004
9,RINEL,Lova,Mme,ENS,Ensemble ! (Majorité présidentielle),2007,"   9,88","   3,08",non,09304,09304,93004
10,PETTITT,Vanessa,Mme,REC,Reconquête !,625,"   3,08","   0,96",non,09304,09304,93004
11,GOUREAU,Marie-Claude,Mme,LR,Les Républicains,975,"   4,80","   1,50",non,09304,09304,93004
12,ATTIG,Sonia,Mme,DVG,Divers gauche,224,"   1,10","   0,34",non,09304,09304,93004
