NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,VILLANUEVA,Alexis,M.,ECO,Ecologistes,295,"   0,63","   0,34",non,06501,06501,65001
2,CLARET,Pierre,M.,DIV,Divers,1768,"   3,78","   2,01",non,06501,06501,65001
3,GIRAL,Romain,M.,LR,Les Républicains,2328,"   4,98","   2,64",non,06501,06501,65001
4,SORIN,Marie-Christine,Mme,RN,Rassemblement National,7396,"  15,82","   8,40",non,06501,06501,65001
5,SAEZ,Maria,Mme,DXG,Divers extrême gauche,339,"   0,73","   0,39",non,06501,06501,65001
6,GUÉNICHOT,Ophélie,Mme,ECO,Ecologistes,1048,"   2,24","   1,19",non,06501,06501,65001
7,BEYRIÉ,Maryse,Mme,DVG,Divers gauche,9317,"  19,93","  10,59",non,06501,06501,65001
8,SEMPASTOUS,Jean-Bernard,M.,ENS,Ensemble ! (Majorité présidentielle),11029,"  23,59","  12,53",Bal.,06501,06501,65001
9,FERRER,Sylvie,Mme,NUP,Nouvelle union populaire écologique et sociale,11540,"  24,69","  13,11",Bal.,06501,06501,65001
10,BONNECARRERE,Catherine,Mme,REC,Reconquête !,1684,"   3,60","   1,91",non,06501,06501,65001
