NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,MAILLARD,Alexandre,M.,LR,Les Républicains,2317,"   6,50","   3,14",non,05301,05301,53001
2,GAROT,Guillaume,M.,NUP,Nouvelle union populaire écologique et sociale,17684,"  49,62","  23,99",Bal.,05301,05301,53001
3,RIVES,Siegfried,M.,DSV,Droite souverainiste,0,"   0,00","   0,00",non,05301,05301,53001
4,ROMIER,Fabrice,M.,DXG,Divers extrême gauche,560,"   1,57","   0,76",non,05301,05301,53001
5,SICOT,Cédric,M.,DSV,Droite souverainiste,491,"   1,38","   0,67",non,05301,05301,53001
6,MOTTIER,Béatrice,Mme,ENS,Ensemble ! (Majorité présidentielle),8415,"  23,61","  11,41",Bal.,05301,05301,53001
7,ROCTON,Sandra,Mme,RN,Rassemblement National,4744,"  13,31","   6,43",non,05301,05301,53001
8,SCHLIENGER,Hugues,M.,REC,Reconquête !,1430,"   4,01","   1,94",non,05301,05301,53001
