NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,LAIR,Anne-Marie,Mme,ECO,Ecologistes,1155,"   2,39","   1,19",non,05002,05002,50002
2,JOURNEL,Thomas,M.,DVG,Divers gauche,489,"   1,01","   0,50",non,05002,05002,50002
3,BAZINCOURT,Cédric,M.,DSV,Droite souverainiste,514,"   1,06","   0,53",non,05002,05002,50002
4,SORRE,Bertrand,M.,ENS,Ensemble ! (Majorité présidentielle),20620,"  42,62","  21,26",Bal.,05002,05002,50002
5,GRIMBERT,Patrick,M.,NUP,Nouvelle union populaire écologique et sociale,8949,"  18,50","   9,23",Bal.,05002,05002,50002
6,FÉRET,Denis,M.,REC,Reconquête !,1648,"   3,41","   1,70",non,05002,05002,50002
7,TRAN,Mai,Mme,DXG,Divers extrême gauche,456,"   0,94","   0,47",non,05002,05002,50002
8,GOUZIEN,Valérie,Mme,ECO,Ecologistes,521,"   1,08","   0,54",non,05002,05002,50002
9,KURDZIEL,Marie-Françoise,Mme,RN,Rassemblement National,8700,"  17,98","   8,97",non,05002,05002,50002
10,FILUZEAU,Florence,Mme,ECO,Ecologistes,1466,"   3,03","   1,51",non,05002,05002,50002
11,TOULLEC DUFOUR,Erwan,M.,LR,Les Républicains,3860,"   7,98","   3,98",non,05002,05002,50002
