NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,ASSIER,Alice,Mme,NUP,Nouvelle union populaire écologique et sociale,19535,"  33,16","  18,89",Bal.,03110,03110,31010
2,SCHMITT,Eric,M.,DVG,Divers gauche,269,"   0,46","   0,26",non,03110,03110,31010
3,POIRIER,Christelle,Mme,RN,Rassemblement National,8947,"  15,19","   8,65",non,03110,03110,31010
4,BOURLAND,Ghislaine,Mme,REC,Reconquête !,2289,"   3,88","   2,21",non,03110,03110,31010
5,CORSO,Gilles,M.,DIV,Divers,183,"   0,31","   0,18",non,03110,03110,31010
6,GIMENO,Séverine,Mme,ECO,Ecologistes,1667,"   2,83","   1,61",non,03110,03110,31010
7,CONTE MARGAIL,Sandrine,Mme,ECO,Ecologistes,568,"   0,96","   0,55",non,03110,03110,31010
8,RESPAUD,Stéphanie,Mme,LR,Les Républicains,3088,"   5,24","   2,99",non,03110,03110,31010
9,SOUCHE,Lucile,Mme,DXG,Divers extrême gauche,466,"   0,79","   0,45",non,03110,03110,31010
10,MARQUIE,Baptiste,M.,DVD,Divers droite,2919,"   4,95","   2,82",non,03110,03110,31010
11,ZITOUNI,Réda,M.,DVC,Divers centre,1268,"   2,15","   1,23",non,03110,03110,31010
12,PALAT,Nadine,Mme,DXG,Divers extrême gauche,0,"   0,00","   0,00",non,03110,03110,31010
13,FAURE,Dominique,Mme,ENS,Ensemble ! (Majorité présidentielle),17720,"  30,08","  17,13",Bal.,03110,03110,31010
