NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,BEN LAHCEN,Ismaïl,M.,DIV,Divers,45,"   0,08","   0,04",non,03507,03507,35007
2,ROSENSTECH,Leïla,Mme,REC,Reconquête !,1970,"   3,65","   1,87",non,03507,03507,35007
3,BOURGEAUX,Jean-Luc,M.,LR,Les Républicains,13736,"  25,42","  13,07",Bal.,03507,03507,35007
4,PÉAN,Stéphane,M.,DIV,Divers,408,"   0,76","   0,39",non,03507,03507,35007
5,DELCOURT,Julien,M.,DIV,Divers,62,"   0,11","   0,06",non,03507,03507,35007
6,FICHET,Christophe,M.,DVC,Divers centre,996,"   1,84","   0,95",non,03507,03507,35007
7,KUCZYK,Raoul,M.,DIV,Divers,0,"   0,00","   0,00",non,03507,03507,35007
8,GRUENAIS,Étienne,M.,REG,Régionaliste,304,"   0,56","   0,29",non,03507,03507,35007
9,LE GAGNE,Anne,Mme,ENS,Ensemble ! (Majorité présidentielle),15330,"  28,37","  14,58",Bal.,03507,03507,35007
10,GUIVARC'H,Nicolas,M.,NUP,Nouvelle union populaire écologique et sociale,11486,"  21,26","  10,93",non,03507,03507,35007
11,BÉQUIGNON,Claude,Mme,DSV,Droite souverainiste,478,"   0,88","   0,45",non,03507,03507,35007
12,LEMOINE,Dylan,M.,RN,Rassemblement National,6861,"  12,70","   6,53",non,03507,03507,35007
13,DRELON,Marie-Thérèse,Mme,ECO,Ecologistes,595,"   1,10","   0,57",non,03507,03507,35007
14,GROISIER,Jean-Michel,M.,DXG,Divers extrême gauche,239,"   0,44","   0,23",non,03507,03507,35007
15,LECLERCQ,Eliane,Mme,REG,Régionaliste,695,"   1,29","   0,66",non,03507,03507,35007
16,DESCOTTES,Edouard,M.,DXG,Divers extrême gauche,355,"   0,66","   0,34",non,03507,03507,35007
17,FERRIAULT,Nelly,Mme,DIV,Divers,474,"   0,88","   0,45",non,03507,03507,35007
