NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,GARNIER,Jean-Marc,M.,RN,Rassemblement National,6229,"  19,94","  10,84",non,00901,00901,09001
2,TAURINE,Bénédicte,Mme,NUP,Nouvelle union populaire écologique et sociale,10347,"  33,12","  18,01",Bal.,00901,00901,09001
3,JOSSINET,François-Xavier,M.,REC,Reconquête !,1134,"   3,63","   1,97",non,00901,00901,09001
4,FABART,Renaud,M.,ECO,Ecologistes,413,"   1,32","   0,72",non,00901,00901,09001
5,LOMRÉ,Yannick,M.,DSV,Droite souverainiste,472,"   1,51","   0,82",non,00901,00901,09001
6,COULY,Claire,Mme,DVG,Divers gauche,2,"   0,01","   0,00",non,00901,00901,09001
7,TRIBOUT,Anne-Sophie,Mme,ENS,Ensemble ! (Majorité présidentielle),6237,"  19,96","  10,85",Bal.,00901,00901,09001
8,LAPEYRE,Gisèle,Mme,DXG,Divers extrême gauche,420,"   1,34","   0,73",non,00901,00901,09001
9,FROGER,Martine,Mme,DVG,Divers gauche,5647,"  18,08","   9,83",non,00901,00901,09001
10,SALVAT,Jean-Pierre,M.,REG,Régionaliste,339,"   1,09","   0,59",non,00901,00901,09001
