NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,SAID-SOUFFOU,Soula,M.,DVC,Divers centre,3011,"  14,00","   6,05",non,97602,97602,ZM002
2,MAURICE,Toumbou,M.,DVD,Divers droite,190,"   0,88","   0,38",non,97602,97602,ZM002
3,DJAROUDI,Ali,M.,DVG,Divers gauche,1062,"   4,94","   2,13",non,97602,97602,ZM002
4,HAMISSI,Saidali,M.,RN,Rassemblement National,567,"   2,64","   1,14",non,97602,97602,ZM002
5,ISSA ABDOU,Issa,M.,DVC,Divers centre,4219,"  19,61","   8,48",Bal.,97602,97602,ZM002
6,KAMARDINE,Mansour,M.,LR,Les Républicains,6959,"  32,35","  13,98",Bal.,97602,97602,ZM002
7,SALIME,Ahumad,M.,DVD,Divers droite,81,"   0,38","   0,16",non,97602,97602,ZM002
8,MADI NGAZI,Anli,M.,DVG,Divers gauche,281,"   1,31","   0,56",non,97602,97602,ZM002
9,ABDOU,Mouhamed,M.,DIV,Divers,422,"   1,96","   0,85",non,97602,97602,ZM002
10,MADI MARI,Madi-Boinamani,M.,ENS,Ensemble ! (Majorité présidentielle),4098,"  19,05","   8,23",non,97602,97602,ZM002
11,MCHAMI,Mouhamadi,M.,DVC,Divers centre,624,"   2,90","   1,25",non,97602,97602,ZM002
