NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,LABICHE,David,M.,LR,Les Républicains,6680,"  12,31","   5,95",non,01702,01702,17002
2,SERRURIER,Evelyne,Mme,ECO,Ecologistes,2162,"   3,98","   1,93",non,01702,01702,17002
3,AUGER,Thierry,M.,DXG,Divers extrême gauche,467,"   0,86","   0,42",non,01702,01702,17002
4,ISELI,Claude,Mme,DSV,Droite souverainiste,637,"   1,17","   0,57",non,01702,01702,17002
5,FORNILI,Marie,Mme,DVG,Divers gauche,0,"   0,00","   0,00",non,01702,01702,17002
6,LARCHER,Adrien,M.,ECO,Ecologistes,772,"   1,42","   0,69",non,01702,01702,17002
7,GIRAUD,Corinne,Mme,REC,Reconquête !,1837,"   3,38","   1,64",non,01702,01702,17002
8,GUERIT,Richard,M.,RN,Rassemblement National,11049,"  20,36","   9,85",non,01702,01702,17002
9,RAYMOND,Nordine,M.,NUP,Nouvelle union populaire écologique et sociale,14928,"  27,50","  13,31",Bal.,01702,01702,17002
10,CASTELLO,Frédéric,M.,DXG,Divers extrême gauche,500,"   0,92","   0,45",non,01702,01702,17002
11,BABAULT,Anne-Laure,Mme,ENS,Ensemble ! (Majorité présidentielle),15246,"  28,09","  13,59",Bal.,01702,01702,17002
