NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,GEORGES,Lucy,Mme,REC,Reconquête !,1329,"   2,92","   1,36",non,05404,05404,54004
2,BERTOZZI BIEVELOT,Barbara,Mme,NUP,Nouvelle union populaire écologique et sociale,8727,"  19,18","   8,95",non,05404,05404,54004
3,BOUGUERRA,Monir,M.,DIV,Divers,115,"   0,25","   0,12",non,05404,05404,54004
4,THIRIET,Rémi,M.,DVG,Divers gauche,1,"   0,00","   0,00",non,05404,05404,54004
5,BILDE,Dominique,Mme,RN,Rassemblement National,11825,"  25,99","  12,12",Bal.,05404,05404,54004
6,MAILLOT,Corinne,Mme,ECO,Ecologistes,646,"   1,42","   0,66",non,05404,05404,54004
7,BAZIN,Thibault,M.,LR,Les Républicains,14239,"  31,29","  14,60",Bal.,05404,05404,54004
8,THOMAS,Rachel,Mme,ENS,Ensemble ! (Majorité présidentielle),7170,"  15,76","   7,35",non,05404,05404,54004
9,HEILLIETTE,Geneviève,Mme,DXG,Divers extrême gauche,451,"   0,99","   0,46",non,05404,05404,54004
10,RAVAILLER,Bertrand,M.,DSV,Droite souverainiste,603,"   1,33","   0,62",non,05404,05404,54004
11,BIHAKI,Gregory,M.,DXG,Divers extrême gauche,401,"   0,88","   0,41",non,05404,05404,54004
