NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,TACHE DE LA PAGERIE,Emmanuel,M.,RN,Rassemblement National,12324,"  30,86","  13,43",Bal.,01316,01316,13016
2,CESARI,Cédric,M.,ECO,Ecologistes,607,"   1,52","   0,66",non,01316,01316,13016
3,REMISE,Jean-Guillaume,M.,REC,Reconquête !,2746,"   6,88","   2,99",non,01316,01316,13016
4,CAILLAULT,Christophe,M.,NUP,Nouvelle union populaire écologique et sociale,10673,"  26,73","  11,63",Bal.,01316,01316,13016
5,DUBOST,Guy,M.,DXG,Divers extrême gauche,493,"   1,23","   0,54",non,01316,01316,13016
6,CAILLAUD,Mariana,Mme,ENS,Ensemble ! (Majorité présidentielle),9970,"  24,97","  10,87",non,01316,01316,13016
7,MELONI,Jean-Baptiste,M.,DIV,Divers,2,"   0,01","   0,00",non,01316,01316,13016
8,LAUPIES,Valérie,Mme,DSV,Droite souverainiste,1440,"   3,61","   1,57",non,01316,01316,13016
9,PASQUINI,Sylvie,Mme,DXG,Divers extrême gauche,452,"   1,13","   0,49",non,01316,01316,13016
10,SANCHEZ,Grégory,M.,ECO,Ecologistes,1227,"   3,07","   1,34",non,01316,01316,13016
