NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,VANTOUROUX,Françoise,Mme,LR,Les Républicains,903,"   2,36","   1,02",non,06210,06210,62010
2,RUS,Ludivine,Mme,RDG,Parti radical de gauche,1434,"   3,75","   1,61",non,06210,06210,62010
3,DAGBERT,Michel,M.,ENS,Ensemble ! (Majorité présidentielle),6945,"  18,18","   7,82",Bal.,06210,06210,62010
4,MAJORCZYK,Rémy,M.,DIV,Divers,237,"   0,62","   0,27",non,06210,06210,62010
5,HOUPLAIN,Myriane,Mme,REC,Reconquête !,898,"   2,35","   1,01",non,06210,06210,62010
6,CAPPE,Florent,M.,DSV,Droite souverainiste,429,"   1,12","   0,48",non,06210,06210,62010
7,COQUERIE,Sandrine,Mme,NUP,Nouvelle union populaire écologique et sociale,6587,"  17,25","   7,41",non,06210,06210,62010
8,LEU,Noémie,Mme,DVD,Divers droite,347,"   0,91","   0,39",non,06210,06210,62010
9,FRAPPÉ,Thierry,M.,RN,Rassemblement National,18230,"  47,73","  20,52",Bal.,06210,06210,62010
10,LALOUX,Geoffrey,M.,DXG,Divers extrême gauche,558,"   1,46","   0,63",non,06210,06210,62010
11,CARINCOTTE,Davy,M.,ECO,Ecologistes,1627,"   4,26","   1,83",non,06210,06210,62010
