NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,LAMARRE,Assamahou,Mme,DIV,Divers,1998,"   4,74","   1,34",non,09903,09903,ZZ003
2,HELAILI-CHAPUIS,Laurence,Mme,DVC,Divers centre,3623,"   8,59","   2,44",non,09903,09903,ZZ003
3,BAILLY,Coralie,Mme,RDG,Parti radical de gauche,195,"   0,46","   0,13",non,09903,09903,ZZ003
4,HOLROYD,Alexandre,M.,ENS,Ensemble ! (Majorité présidentielle),16238,"  38,51","  10,92",Bal.,09903,09903,ZZ003
5,MINVIELLE,Charlotte,Mme,NUP,Nouvelle union populaire écologique et sociale,13265,"  31,46","   8,92",Bal.,09903,09903,ZZ003
6,DARRIEUS,Margaux,Mme,REC,Reconquête !,1474,"   3,50","   0,99",non,09903,09903,ZZ003
7,CAZEIN,Aude,Mme,DIV,Divers,689,"   1,63","   0,46",non,09903,09903,ZZ003
8,GALIAY,Artus,M.,LR,Les Républicains,2302,"   5,46","   1,55",non,09903,09903,ZZ003
9,LEPELTIER,Thomas,M.,ECO,Ecologistes,584,"   1,39","   0,39",non,09903,09903,ZZ003
10,BEGON,Willy,M.,RN,Rassemblement National,698,"   1,66","   0,47",non,09903,09903,ZZ003
11,ROMBONI,Valérie,Mme,DVG,Divers gauche,1095,"   2,60","   0,74",non,09903,09903,ZZ003
