CodCirc2,NumPanneauCand,position_t2,NbCand,NbVoix_t2,RapportExprimes_t2,CodNuaCand,position_t1,NbVoix_t1,RapportExprimes_t1,change,NbVoix_ecart,RapportExprimes_ecart
ZS001,1,1,2,1665,61.74,DVD,1,1184,43.09,False,481,18.65
ZS001,2,2,2,1032,38.26,SOC,2,464,16.89,False,568,21.369999999999997
ZP002,1,1,2,17838,55.88,DVD,1,12986,49.09,False,4852,6.789999999999999
ZP002,5,2,2,14086,44.12,UG,2,11162,42.19,False,2924,1.9299999999999997
ZP003,3,1,2,17308,50.87,UG,1,12483,42.71,False,4825,8.159999999999997
ZP003,4,2,2,16716,49.13,DVD,2,12006,41.08,False,4710,8.050000000000004
ZN001,2,1,2,34577,52.41,DVD,1,22316,39.81,False,12261,12.599999999999994
ZN001,4,2,2,31399,47.59,REG,2,20370,36.34,False,11029,11.25
ZN002,2,1,2,51724,57.44,REG,1,32926,44.06,False,18798,13.379999999999995
ZN002,6,2,2,38320,42.56,DVD,2,27038,36.18,False,11282,6.380000000000003
ZX001,1,2,2,3095,43.98,DVD,2,1378,19.92,False,1717,24.059999999999995
ZX001,8,1,2,3942,56.02,DVC,1,2867,41.44,False,1075,14.580000000000005
ZZ001,1,1,2,50333,54.25,ENS,1,36363,38.84,False,13970,15.409999999999997
ZZ001,8,2,2,42439,45.75,UG,2,33822,36.12,False,8617,9.630000000000003
ZZ002,6,1,2,9947,53.27,ENS,2,6440,33.49,True,3507,19.78
ZZ002,7,2,2,8725,46.73,UG,1,6952,36.16,True,1773,10.57
ZZ003,1,2,2,37326,49.46,UG,1,26873,39.22,True,10453,10.240000000000002
ZZ003,5,1,2,38134,50.54,ENS,2,26810,39.13,True,11324,11.409999999999997
ZZ004,2,2,2,36127,49.76,UG,1,27898,37.45,True,8229,12.309999999999995
ZZ004,9,1,2,36476,50.24,ENS,2,26410,35.46,True,10066,14.780000000000001
ZZ005,2,2,2,16230,38.53,UG,2,11267,26.18,False,4963,12.350000000000001
ZZ005,8,1,2,25894,61.47,DVC,1,14492,33.68,False,11402,27.79
ZZ006,3,1,2,34771,59.48,ENS,1,25590,40.54,False,9181,18.939999999999998
ZZ006,4,2,2,23687,40.52,UG,2,19446,30.81,False,4241,9.710000000000004
ZZ007,1,1,2,34516,58.21,ENS,1,21929,37.78,False,12587,20.43
ZZ007,5,2,2,24784,41.79,UG,2,18914,32.58,False,5870,9.21
ZZ008,5,2,2,16428,47.3,LR,1,11557,35.58,True,4871,11.719999999999999
ZZ008,6,1,2,18302,52.7,ENS,2,7855,24.18,True,10447,28.520000000000003
ZZ009,8,2,2,8893,25.29,ENS,2,5634,15.7,False,3259,9.59
ZZ009,9,1,2,26271,74.71,UG,1,18505,51.57,False,7766,23.139999999999993
ZZ010,3,1,2,17055,53.23,ENS,2,11398,31.82,True,5657,21.409999999999997
ZZ010,6,2,2,14986,46.77,UG,1,11651,32.52,True,3335,14.25
ZZ011,2,2,2,16172,42.96,UG,2,12502,29.78,False,3670,13.18
ZZ011,13,1,2,21468,57.04,ENS,1,16770,39.94,False,4698,17.1
ZA001,4,1,2,18043,77.59,DVG,1,12042,51.4,False,6001,26.190000000000005
ZA001,7,2,2,5211,22.41,DVG,2,2965,12.65,False,2246,9.76
ZA002,6,1,2,19801,72.38,DVG,1,10903,41.33,False,8898,31.049999999999997
ZA002,14,2,2,7557,27.62,RN,2,4563,17.3,False,2994,10.32
ZA003,2,1,2,21715,69.15,DVG,1,10672,36.21,False,11043,32.940000000000005
ZA003,10,2,2,9687,30.85,RN,2,7635,25.9,False,2052,4.950000000000003
ZA004,1,1,2,15068,71.09,SOC,1,12617,57.9,False,2451,13.190000000000005
ZA004,6,2,2,6127,28.91,DVC,2,4763,21.86,False,1364,7.050000000000001
ZB001,2,2,2,4081,18.03,REG,2,3106,13.42,False,975,4.610000000000001
ZB001,8,1,2,18552,81.97,REG,1,13095,56.56,False,5457,25.409999999999997
ZB002,4,1,2,17230,65.68,REG,1,12017,48.31,False,5213,17.370000000000005
ZB002,5,2,2,9003,34.32,DVD,2,6732,27.06,False,2271,7.260000000000002
ZB003,2,1,2,10243,54.53,SOC,2,4489,25.26,True,5754,29.27
ZB003,3,2,2,8541,45.47,DVG,1,6626,37.28,True,1915,8.189999999999998
ZB004,4,1,2,21620,86.58,REG,1,15405,63.18,False,6215,23.4
ZB004,7,2,2,3350,13.42,RN,2,2408,9.88,False,942,3.539999999999999
ZC001,1,1,2,14302,76.11,REG,1,12895,62.78,False,1407,13.329999999999998
ZC001,3,2,2,4490,23.89,DVD,2,3308,16.1,False,1182,7.789999999999999
ZC002,5,1,1,8422,100.0,REG,1,8307,60.21,False,115,39.79
ZD001,1,1,2,27276,64.72,UG,1,19186,46.25,False,8090,18.47
ZD001,3,2,2,14868,35.28,RN,2,11451,27.6,False,3417,7.68
ZD002,1,2,2,13749,32.54,RN,2,8513,21.31,False,5236,11.23
