,Inscrits,CodCirc
0,79108,07515
0,70689,07518
0,66683,07601
0,95314,07602
0,70128,07603
0,87128,07604
0,95185,07605
0,109827,07606
0,86816,07607
0,65792,07608
0,95673,07609
0,110317,07610
0,71939,07701
0,79935,07702
0,77071,07703
0,88843,07704
0,88370,07705
0,81567,07706
0,87857,07707
0,95210,07708
0,86253,07709
0,81517,07710
0,66546,07711
0,83352,07801
0,86404,07802
0,83457,07803
0,80177,07804
0,75656,07805
0,75950,07806
0,80658,07807
0,74523,07808
0,92997,07809
0,91550,07810
0,69381,07811
0,71168,07812
0,90926,07901
0,98305,07902
0,84887,07903
0,84051,08001
0,77992,08002
0,82597,08003
0,85112,08004
0,81347,08005
0,85129,08101
0,109876,08102
0,104171,08103
0,93022,08201
0,96326,08202
0,72280,08301
0,92512,08302
0,104086,08303
0,112405,08304
0,101751,08305
0,127524,08306
0,105189,08307
0,109176,08308
0,73786,08401
0,85845,08402
0,78864,08403
0,90422,08404
0,84399,08405
0,118663,08501
0,112172,08502
0,135259,08503
0,102698,08504
0,84119,08505
0,80591,08601
0,79522,08602
0,73004,08603
0,73885,08604
0,84309,08701
0,98185,08702
0,82050,08703
0,76780,08801
0,72550,08802
0,63943,08803
0,65292,08804
0,75760,08901
0,73481,08902
0,89743,08903
0,47739,09001
0,46506,09002
0,73488,09101
0,91963,09102
0,98728,09103
0,98723,09104
0,68469,09105
0,83269,09106
0,73554,09107
0,75988,09108
0,78755,09109
0,61842,09110
0,65841,09201
0,69751,09202
0,82694,09203
0,80993,09204
0,75584,09205
0,76272,09206
0,87926,09207
0,68055,09208
0,63461,09209
0,79543,09210
0,70797,09211
0,93387,09212
0,90066,09213
0,67264,09301
0,55152,09302
0,75681,09303
0,65132,09304
0,65244,09305
0,58109,09306
0,61647,09308
0,73747,09309
0,69264,09310
0,63427,09311
0,65423,09312
0,85157,09401
0,66114,09402
0,74047,09403
0,74068,09404
0,90294,09405
0,82124,09406
0,66273,09407
0,78529,09408
0,54172,09409
0,67134,09410
0,64990,09411
0,82738,09501
0,78171,09502
0,94579,09503
0,75566,09504
0,69293,09505
0,75352,09506
0,69386,09507
0,54531,09508
0,70504,09509
0,67953,09510
0,75973,97101
0,87777,97102
0,84339,97103
0,68265,97104
0,80030,97201
0,80053,97202
0,60512,97203
0,83960,97204
0,57003,97301
0,46589,97302
0,85938,97401
0,98988,97402
0,96233,97403
0,108941,97404
0,87703,97405
0,82050,97406
0,118287,97407
0,5049,97501
0,42866,97601
0,49846,97602
0,24567,97701
0,9580,98601
0,72170,98701
0,67260,98702
0,66921,98703
0,96932,98801
0,122222,98802
0,240992,09901
0,75621,09902
0,148662,09903
0,148171,09904
0,105032,09905
0,150077,09906
0,123403,09907
0,131216,09908
0,120553,09909
0,104452,09910
0,98847,09911
