NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,RapportExprimes,RapportInscrits
DENIAUD,Yves,M.,UMP,Union pour un Mouvement Populaire,22504,"  52,82","  31,04",oui,06101,52.82,31.04
MAQUET,Jacqueline,Mme,SOC,Socialiste,26398,"  52,09","  33,06",oui,06201,52.09,33.06
RAPENEAU,Philippe,M.,UMP,Union pour un Mouvement Populaire,24282,"  47,91","  30,41",non,06201,47.91,30.41
GENISSON,Catherine,Mme,SOC,Socialiste,27635,"  56,11","  36,11",oui,06202,56.11,36.11
ZIOLKOWSKI,Michel,M.,UMP,Union pour un Mouvement Populaire,21615,"  43,89","  28,24",non,06202,43.89,28.24
LEROY,Jean-Claude,M.,SOC,Socialiste,30004,"  57,09","  39,80",oui,06203,57.09,39.8
MAGNIER,Hélène,Mme,UMP,Union pour un Mouvement Populaire,22553,"  42,91","  29,92",non,06203,42.91,29.92
FASQUELLE,Daniel,M.,UMP,Union pour un Mouvement Populaire,26498,"  53,89","  33,55",oui,06204,53.89,33.55
LENA,Vincent,M.,SOC,Socialiste,22675,"  46,11","  28,71",non,06204,46.11,28.71
CUVILLIER,Frédéric,M.,SOC,Socialiste,23315,"  62,04","  35,94",oui,06205,62.04,35.94
VALLA,Annick,Mme,UMP,Union pour un Mouvement Populaire,14266,"  37,96","  21,99",non,06205,37.96,21.99
WACHEUX,Frédéric,M.,UMP,Union pour un Mouvement Populaire,19729,"  45,28","  26,77",non,06206,45.28,26.77
LANG,Jack,M.,SOC,Socialiste,23839,"  54,72","  32,34",oui,06206,54.72,32.34
BOUCHART,Natacha,Mme,UMP,Union pour un Mouvement Populaire,23319,"  49,29","  27,17",non,06207,49.29,27.17
COCQUEMPOT,Gilles,M.,SOC,Socialiste,23994,"  50,71","  27,95",oui,06207,50.71,27.95
FLAJOLET,André,M.,UMP,Union pour un Mouvement Populaire,25841,"  51,76","  31,93",oui,06209,51.76,31.93
MELLICK,Jacques,M.,SOC,Socialiste,24080,"  48,24","  29,75",non,06209,48.24,29.75
JANQUIN,Serge,M.,SOC,Socialiste,25496,"  67,90","  35,21",oui,06210,67.9,35.21
MOREL,Isabelle,Mme,UMP,Union pour un Mouvement Populaire,12055,"  32,10","  16,65",non,06210,32.1,16.65
WONTERGHEM,Myriam,Mme,UMP,Union pour un Mouvement Populaire,20265,"  38,34","  20,96",non,06211,38.34,20.96
DURIEZ,Odette,Mme,SOC,Socialiste,32595,"  61,66","  33,72",oui,06211,61.66,33.72
KUCHEIDA,Jean-Pierre,M.,SOC,Socialiste,27866,"  69,69","  35,28",oui,06212,69.69,35.28
DUQUESNE,Jeanine,Mme,UMP,Union pour un Mouvement Populaire,12118,"  30,31","  15,34",non,06212,30.31,15.34
DELCOURT,Guy,M.,SOC,Socialiste,23574,"  64,22","  32,56",oui,06213,64.22,32.56
PERMUY,Béatrice,Mme,UMP,Union pour un Mouvement Populaire,13137,"  35,78","  18,14",non,06213,35.78,18.14
LE PEN,Marine,Mme,FN,Front national,17107,"  41,65","  22,61",non,06214,41.65,22.61
FACON,Albert,M.,SOC,Socialiste,23965,"  58,35","  31,67",oui,06214,58.35,31.67
COURTILLE,Anne,Mme,UMP,Union pour un Mouvement Populaire,12939,"  38,75","  21,00",non,06301,38.75,21.0
SAUGUES,Odile,Mme,SOC,Socialiste,20453,"  61,25","  33,20",oui,06301,61.25,33.2
NERI,Alain,M.,SOC,Socialiste,28286,"  61,83","  36,90",oui,06302,61.83,36.9
SUSS,Paul,M.,UMP,Union pour un Mouvement Populaire,17459,"  38,17","  22,77",non,06302,38.17,22.77
LACOMBE,Mireille,Mme,SOC,Socialiste,21023,"  46,91","  28,14",non,06303,46.91,28.14
GISCARD D'ESTAING,Louis,M.,UMP,Union pour un Mouvement Populaire,23790,"  53,09","  31,84",oui,06303,53.09,31.84
BACQUET,Jean-Paul,M.,SOC,Socialiste,29965,"  61,44","  38,58",oui,06304,61.44,38.58
SERRE,Christophe,M.,UMP,Union pour un Mouvement Populaire,18806,"  38,56","  24,21",non,06304,38.56,24.21
DELANNOY,Anne-Marie,Mme,UMP,Union pour un Mouvement Populaire,14393,"  34,10","  21,68",non,06305,34.1,21.68
CHASSAIGNE,André,M.,COM,Communiste,27819,"  65,90","  41,91",oui,06305,65.9,41.91
MICHEL,Jean,M.,SOC,Socialiste,31011,"  54,24","  35,09",oui,06306,54.24,35.09
SIKORA,Marie-Thérèse,Mme,UMP,Union pour un Mouvement Populaire,26163,"  45,76","  29,60",non,06306,45.76,29.6
LIGNIERES-CASSOU,Martine,Mme,SOC,Socialiste,23729,"  55,52","  34,71",oui,06401,55.52,34.71
LAYRE,Bernard,M.,UMP,Union pour un Mouvement Populaire,19012,"  44,48","  27,81",non,06401,44.48,27.81
CABANNE,Marie-Pierre,Mme,SOC,Socialiste,16273,"  38,79","  21,89",non,06402,38.79,21.89
BAYROU,François,M.,UDFD,UDF-Mouvement Démocrate,25677,"  61,21","  34,55",oui,06402,61.21,34.55
HABIB,David,M.,SOC,Socialiste,32457,"  62,50","  40,46",oui,06403,62.5,40.46
SAILLIET,Laurence,Mme,UMP,Union pour un Mouvement Populaire,19471,"  37,50","  24,27",non,06403,37.5,24.27
LUCBEREILH,Hervé,M.,UMP,Union pour un Mouvement Populaire,18997,"  33,65","  23,66",non,06404,33.65,23.66
DOMECQ,Jean-Pierre,M.,SOC,Socialiste,14657,"  25,96","  18,25",non,06404,25.96,18.25
LASSALLE,Jean,M.,UDFD,UDF-Mouvement Démocrate,22803,"  40,39","  28,40",oui,06404,40.39,28.4
GRENET,Jean,M.,UMP,Union pour un Mouvement Populaire,25037,"  52,93","  30,19",oui,06405,52.93,30.19
ESPILONDO,Jean,M.,SOC,Socialiste,22266,"  47,07","  26,85",non,06405,47.07,26.85
ALAUX,Sylviane,Mme,SOC,Socialiste,21726,"  41,63","  23,67",non,06406,41.63,23.67
ALLIOT-MARIE,Michèle,Mme,UMP,Union pour un Mouvement Populaire,30460,"  58,37","  33,18",oui,06406,58.37,33.18
FORGUES,Pierre,M.,SOC,Socialiste,22465,"  60,77","  37,37",oui,06501,60.77,37.37
LAMON,Monique,Mme,UMP,Union pour un Mouvement Populaire,14505,"  39,23","  24,13",non,06501,39.23,24.13
ROBIN-RODRIGO,Chantal,Mme,RDG,Radical de gauche,23075,"  55,17","  36,50",oui,06502,55.17,36.5
TREMEGE,Gérard,M.,UMP,Union pour un Mouvement Populaire,18754,"  44,83","  29,67",non,06502,44.83,29.67
GLAVANY,Jean,M.,SOC,Socialiste,20100,"  61,41","  37,61",oui,06503,61.41,37.61
RABAUD-CARRIE,Christine,Mme,UMP,Union pour un Mouvement Populaire,12631,"  38,59","  23,64",non,06503,38.59,23.64
MACH,Daniel,M.,UMP,Union pour un Mouvement Populaire,21410,"  56,98","  32,33",oui,06601,56.98,32.33
VILA,JEAN,M.,COM,Communiste,16167,"  43,02","  24,41",non,06601,43.02,24.41
SOUM,RENEE,Mme,SOC,Socialiste,22622,"  40,22","  23,38",non,06602,40.22,23.38
FRANCO,Arlette,Mme,UMP,Union pour un Mouvement Populaire,33630,"  59,78","  34,76",oui,06602,59.78,34.76
CALVET,François,M.,UMP,Union pour un Mouvement Populaire,20881,"  51,94","  31,64",oui,06603,51.94,31.64
BOURQUIN,Christian,M.,SOC,Socialiste,19321,"  48,06","  29,27",non,06603,48.06,29.27
IRLES,JACQUELINE,Mme,UMP,Union pour un Mouvement Populaire,28070,"  50,25","  32,12",oui,06604,50.25,32.12
AYLAGAS,Pierre,M.,DVG,Divers gauche,27790,"  49,75","  31,80",non,06604,49.75,31.8
JUNG,Armand,M.,SOC,Socialiste,15994,"  56,27","  30,36",oui,06701,56.27,30.36
LOUTREL,Frédérique,Mme,UMP,Union pour un Mouvement Populaire,12428,"  43,73","  23,59",non,06701,43.73,23.59
BIES,Philippe,M.,SOC,Socialiste,12530,"  48,68","  24,33",non,06702,48.68,24.33
MAURER,Jean-Philippe,M.,UMP,Union pour un Mouvement Populaire,13211,"  51,32","  25,65",oui,06702,51.32,25.65
SCHNEIDER,André,M.,UMP,Union pour un Mouvement Populaire,18154,"  57,75","  27,14",oui,06703,57.75,27.14
NAÏLI,Zoubida,Mme,SOC,Socialiste,13284,"  42,25","  19,86",non,06703,42.25,19.86
MEYER,Gilbert,M.,UMP,Union pour un Mouvement Populaire,12492,"  33,95","  17,36",non,06801,33.95,17.36
STRAUMANN,Eric,M.,DVD,Divers droite,24298,"  66,05","  33,77",oui,06801,66.05,33.77
FREYBURGER,Pierre,M.,SOC,Socialiste,11641,"  43,73","  21,35",non,06805,43.73,21.35
GROSSKOST,Arlette,Mme,UMP,Union pour un Mouvement Populaire,14977,"  56,27","  27,46",oui,06805,56.27,27.46
BRAILLARD,Thierry,M.,RDG,Radical de gauche,16687,"  48,46","  26,16",non,06901,48.46,26.16
HAVARD,Michel ,M.,UMP,Union pour un Mouvement Populaire,17750,"  51,54","  27,83",oui,06901,51.54,27.83
MUET,Pierre-Alain,M.,SOC,Socialiste,21310,"  51,51","  29,72",oui,06902,51.51,29.72
HAMELIN,Emmanuel,M.,UMP,Union pour un Mouvement Populaire,20058,"  48,49","  27,97",non,06902,48.49,27.97
DUBERNARD,Jean-Michel,M.,UMP,Union pour un Mouvement Populaire,18186,"  48,66","  27,00",non,06903,48.66,27.0
TOURAINE,Jean-Louis,M.,SOC,Socialiste,19190,"  51,34","  28,49",oui,06903,51.34,28.49
PERBEN,Dominique,M.,UMP,Union pour un Mouvement Populaire,23717,"  56,57","  31,59",oui,06904,56.57,31.59
