NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,RapportExprimes,RapportInscrits
FIDELIN,Daniel,M.,UMP,Union pour un Mouvement Populaire,27758,"  53,16","  32,47",oui,07609,53.16,32.47
GRELIER,Estelle,Mme,SOC,Socialiste,24461,"  46,84","  28,61",non,07609,46.84,28.61
TRASSY-PAILLOGUES,Alfred,M.,UMP,Union pour un Mouvement Populaire,29554,"  55,15","  34,84",oui,07610,55.15,34.84
CHAUVEL,Dominique,Mme,SOC,Socialiste,24034,"  44,85","  28,33",non,07610,44.85,28.33
BAZIN,Jean,M.,UMP,Union pour un Mouvement Populaire,22976,"  47,80","  30,39",non,07611,47.8,30.39
HUREL,Sandrine,Mme,SOC,Socialiste,25087,"  52,20","  33,18",oui,07611,52.2,33.18
PICHERY,Marie-Line,Mme,SOC,Socialiste,19848,"  43,02","  22,42",non,07701,43.02,22.42
MIGNON,Jean-Claude,M.,UMP,Union pour un Mouvement Populaire,26294,"  56,98","  29,70",oui,07701,56.98,29.7
JULIA,Didier,M.,UMP,Union pour un Mouvement Populaire,18442,"  57,77","  23,86",oui,07702,57.77,23.86
VALLETOUX,Frédéric,M.,DVD,Divers droite,13482,"  42,23","  17,44",non,07702,42.23,17.44
