Inscrits,CodCirc
79072,00101
86937,00102
69847,00103
84589,00104
73713,00105
72613,00201
73254,00202
70285,00203
78988,00204
81007,00205
90327,00301
86702,00302
78992,00303
60572,00401
63340,00402
56125,00501
50810,00502
82287,00601
82396,00602
87373,00603
84882,00604
85420,00605
80580,00608
77291,00609
76625,00701
90825,00702
76071,00703
73262,00801
65105,00802
59751,00902
64415,01001
72910,01002
66188,01003
92733,01101
83694,01102
87655,01103
75453,01201
70570,01202
71907,01203
73877,01301
77369,01302
70329,01303
58696,01304
68665,01305
72561,01306
63071,01307
93083,01308
92600,01309
100187,01310
85346,01311
89006,01312
90571,01313
93933,01314
98288,01315
88592,01316
70198,01401
67110,01402
78453,01403
97731,01404
86425,01405
90970,01406
64432,01501
84796,01602
98754,01701
97489,01702
81736,01703
87675,01704
105996,01705
73570,01801
70120,01802
87097,01803
91923,01902
47853,02A01
53733,02A02
54656,02B01
63936,02B02
67637,02101
66189,02102
69194,02103
69041,02104
82948,02105
89033,02201
93778,02202
86353,02203
79632,02204
102336,02205
96734,02301
75070,02401
81109,02402
73014,02501
76305,02502
65449,02503
67392,02504
77318,02505
72886,02601
87793,02602
102603,02603
90017,02604
85364,02701
76977,02702
81697,02703
86705,02704
87231,02705
87301,02801
71962,02802
71263,02803
85899,02901
78114,02902
86265,02903
82120,02904
91125,02905
89355,02906
79856,02907
84422,02908
83375,03001
82311,03002
88908,03003
87722,03004
93425,03005
77642,03006
76430,03101
94420,03102
73122,03103
66103,03104
90350,03105
103286,03106
92509,03107
76388,03109
88443,03110
70130,03202
86026,03301
62176,03302
86704,03304
102509,03305
95291,03306
97831,03308
85657,03309
78529,03310
88185,03311
78612,03312
79107,03401
58306,03402
77416,03403
103243,03404
90937,03405
86217,03406
95974,03407
80691,03408
75616,03409
87110,03501
86967,03502
81490,03503
85089,03504
97503,03505
85286,03506
95131,03507
78950,03508
82183,03601
91526,03602
65540,03701
84410,03702
94506,03703
88312,03704
80474,03705
79900,03801
75160,03802
59259,03803
87944,03804
97930,03805
77141,03806
87620,03807
75067,03808
93414,03809
87761,03810
65053,03901
54978,03902
68319,03903
97684,04001
104777,04002
80494,04101
80287,04102
82398,04103
67995,04201
57280,04202
80453,04203
99109,04204
101386,04205
103990,04206
95799,04301
80283,04302
72772,04401
81582,04402
105676,04405
106907,04406
102050,04407
107719,04409
106661,04410
73258,04501
81930,04502
71107,04503
75006,04504
72691,04505
69209,04506
70187,04601
86731,04701
77682,04702
76361,04703
59904,04801
80924,04901
87426,04902
68436,04903
73568,04904
75356,04905
92553,04906
75333,04907
86504,05001
94632,05002
105839,05003
69250,05101
72605,05102
81307,05103
80933,05104
78225,05105
74519,05201
64327,05202
72662,05301
76721,05302
80687,05401
70929,05402
83073,05403
97146,05404
76718,05405
87344,05406
78861,05501
61296,05502
98874,05601
98524,05602
86768,05603
102159,05604
80306,05605
89073,05606
88219,05701
76230,05702
74064,05703
81175,05704
74623,05705
72286,05706
91559,05707
91179,05708
97022,05709
78228,05801
86663,05802
60531,05901
87326,05902
96578,05903
97181,05904
96486,05905
84777,05906
72159,05907
69044,05908
89257,05909
80361,05910
90403,05911
93678,05912
90529,05913
98795,05914
95226,05915
83611,05916
75067,05917
92017,05918
79055,05919
80858,05920
81076,05921
80790,06001
86048,06002
71318,06003
90388,06004
71394,06005
74661,06006
75109,06007
71221,06101
68837,06102
72534,06103
103081,06201
84287,06202
87344,06203
87387,06204
89021,06206
92392,06207
93191,06208
79278,06209
89833,06210
94135,06211
94598,06212
80629,06301
86222,06302
86560,06303
100234,06305
68848,06401
77678,06402
80336,06404
85475,06405
94877,06406
88431,06501
88975,06502
67600,06601
89077,06602
80123,06603
92337,06604
63979,06701
71163,06702
68329,06703
89926,06704
98427,06705
84668,06707
88325,06709
74091,06801
91136,06802
99346,06804
78845,06805
92477,06806
68147,06901
74894,06902
70342,06903
79525,06904
80551,06905
78362,06906
64848,06907
98428,06908
85947,06909
89518,06910
85515,06911
76167,06912
79500,06913
70147,06914
88838,07001
91944,07002
72448,07101
81295,07102
83724,07103
81128,07104
91109,07105
72564,07201
83343,07202
84844,07203
78907,07204
87454,07205
82250,07301
75062,07302
70400,07303
71712,07304
93143,07401
90269,07402
75236,07403
79941,07404
89907,07405
75879,07406
76654,07501
71179,07502
64992,07503
67393,07504
70914,07505
73258,07506
72451,07507
80063,07508
66531,07509
66677,07510
69506,07511
71293,07512
72578,07513
73924,07515
66220,07516
55056,07517
64935,07518
64760,07601
91508,07602
69260,07603
94283,07605
110291,07606
88954,07607
70540,07608
92401,07609
105877,07610
67677,07701
78540,07702
72477,07703
85120,07704
78936,07705
74055,07706
81916,07707
82689,07708
82227,07709
78330,07710
62580,07711
81682,07801
83176,07802
81509,07803
76864,07804
72109,07805
74199,07806
78358,07807
71086,07808
89312,07809
86778,07810
65697,07811
66387,07812
88435,07901
85107,07903
85129,08001
75032,08002
84660,08003
82795,08004
81979,08005
83057,08101
102421,08102
98450,08103
86112,08201
89289,08202
73594,08301
87294,08302
97734,08303
99266,08304
91027,08305
108388,08306
101226,08307
99851,08308
72480,08401
80412,08402
70912,08403
86180,08404
78542,08405
102173,08501
97864,08502
113870,08503
80641,08505
77231,08601
75571,08602
74805,08603
75944,08604
84649,08701
96669,08702
83518,08703
76604,08801
74263,08802
66793,08803
67893,08804
78334,08901
77710,08902
89161,08903
47185,09001
47774,09002
70356,09101
87350,09102
92133,09103
92236,09104
66684,09105
76222,09106
71747,09107
75338,09108
76276,09109
60673,09110
59481,09201
63567,09202
76553,09203
70836,09204
68822,09205
73407,09206
83959,09207
67019,09208
61020,09209
71749,09210
67356,09211
89872,09212
86550,09213
