Inscrits,CodCirc
79066,00101
86982,00102
69837,00103
84591,00104
73718,00105
72620,00201
73249,00202
70292,00203
78987,00204
81017,00205
90355,00301
86739,00302
79029,00303
60582,00401
63327,00402
56120,00501
50805,00502
82287,00601
82406,00602
87373,00603
84882,00604
85420,00605
76095,00606
89711,00607
80580,00608
77292,00609
76645,00701
90928,00702
76073,00703
73277,00801
64802,00802
58526,00803
56664,00901
59754,00902
64707,01001
72912,01002
66187,01003
92762,01101
83701,01102
87604,01103
75452,01201
70585,01202
71920,01203
73892,01301
77390,01302
70351,01303
58700,01304
68685,01305
72571,01306
63082,01307
93086,01308
92601,01309
100194,01310
85348,01311
89006,01312
90594,01313
93933,01314
98301,01315
88594,01316
70197,01401
67111,01402
78477,01403
97734,01404
86425,01405
90979,01406
64438,01501
56422,01502
84304,01601
84854,01602
91869,01603
98753,01701
97490,01702
81745,01703
87692,01704
106006,01705
73619,01801
70128,01802
87187,01803
94582,01901
91937,01902
47854,02A01
53677,02A02
54669,02B01
63918,02B02
67638,02101
66186,02102
69190,02103
69044,02104
82966,02105
89082,02201
93788,02202
86365,02203
79622,02204
102353,02205
96749,02301
75065,02401
81128,02402
68980,02403
86687,02404
73025,02501
76302,02502
65469,02503
67395,02504
77342,02505
72894,02601
87792,02602
102613,02603
90017,02604
85371,02701
77004,02702
81703,02703
86749,02704
87236,02705
87301,02801
71962,02802
71269,02803
67206,02804
85917,02901
78114,02902
86268,02903
82128,02904
91131,02905
89396,02906
79860,02907
84438,02908
83399,03001
82317,03002
88900,03003
87721,03004
93440,03005
77652,03006
76439,03101
94408,03102
73131,03103
66108,03104
90353,03105
103296,03106
92519,03107
84888,03108
76393,03109
88459,03110
73647,03201
70161,03202
86025,03301
62176,03302
74223,03303
86720,03304
102499,03305
95240,03306
72718,03307
97831,03308
85660,03309
78548,03310
88171,03311
78599,03312
79113,03401
58306,03402
77414,03403
103261,03404
90977,03405
86217,03406
95983,03407
80691,03408
75618,03409
87110,03501
86964,03502
81491,03503
85092,03504
97503,03505
85292,03506
95132,03507
78953,03508
82183,03601
91528,03602
65540,03701
84414,03702
94510,03703
88306,03704
80469,03705
79795,03801
75155,03802
59259,03803
87911,03804
97933,03805
77141,03806
87613,03807
75071,03808
93414,03809
87767,03810
65069,03901
54874,03902
68321,03903
97693,04001
104784,04002
94594,04003
80490,04101
80287,04102
82404,04103
67997,04201
57300,04202
80444,04203
99123,04204
101389,04205
103991,04206
95803,04301
80304,04302
72772,04401
81581,04402
88763,04403
82817,04404
105669,04405
106921,04406
102073,04407
81111,04408
107736,04409
106663,04410
73262,04501
81929,04502
71107,04503
75011,04504
72691,04505
69230,04506
70184,04601
64982,04602
86737,04701
77684,04702
76356,04703
59906,04801
80923,04901
87424,04902
68437,04903
73567,04904
75351,04905
92534,04906
75311,04907
86501,05001
94610,05002
105851,05003
88710,05004
69252,05101
72609,05102
81314,05103
80952,05104
78229,05105
74514,05201
64325,05202
72668,05301
76725,05302
72344,05303
80689,05401
70932,05402
83088,05403
97182,05404
