NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,RapportExprimes,RapportInscrits
1,DEBAT,Jean-François,M.,SOC,Socialiste,22743,"  48,41","  28,76",non,00101,48.41,28.76
2,BRETON,Xavier,M.,UMP,Union pour un Mouvement Populaire,24233,"  51,59","  30,64",oui,00101,51.59,30.64
1,RAYMOND,Michel,M.,DVG,Divers gauche,19529,"  38,76","  22,46",non,00102,38.76,22.46
2,DE LA VERPILLIERE,Charles,M.,UMP,Union pour un Mouvement Populaire,22327,"  44,31","  25,68",oui,00102,44.31,25.68
3,EYRAUD,Olivier,M.,FN,Front National,8530,"  16,93","   9,81",non,00102,16.93,9.81
1,FOGNINI,Jean-Marc,M.,SOC,Socialiste,15653,"  44,83","  22,41",non,00103,44.83,22.41
2,BLANC,Etienne,M.,UMP,Union pour un Mouvement Populaire,19266,"  55,17","  27,58",oui,00103,55.17,27.58
1,LACROIX,Guillaume,M.,RDG,Radical de Gauche,19780,"  43,04","  23,38",non,00104,43.04,23.38
2,VOISIN,Michel,M.,UMP,Union pour un Mouvement Populaire,26175,"  56,96","  30,94",oui,00104,56.96,30.94
1,EXPOSITO,Josiane,Mme,SOC,Socialiste,17012,"  43,60","  23,07",non,00105,43.6,23.07
2,ABAD,Damien,M.,UMP,Union pour un Mouvement Populaire,22008,"  56,40","  29,85",oui,00105,56.4,29.85
3,BONO,Aude,Mme,NCE,Nouveau Centre,15974,"  38,60","  21,99",non,00201,38.6,21.99
6,DOSIERE,René,M.,DVG,Divers gauche,17460,"  42,19","  24,04",oui,00201,42.19,24.04
7,KARIMET,Fawaz,M.,SOC,Socialiste,7950,"  19,21","  10,94",non,00201,19.21,10.94
7,FERREIRA,Anne,Mme,SOC,Socialiste,22223,"  49,75","  30,33",non,00202,49.75,30.33
10,BERTRAND,Xavier,M.,UMP,Union pour un Mouvement Populaire,22445,"  50,25","  30,63",oui,00202,50.25,30.63
4,MEURA,Frédéric,M.,UMP,Union pour un Mouvement Populaire,18301,"  45,69","  26,03",non,00203,45.69,26.03
8,BRICOUT,Jean-Louis,M.,SOC,Socialiste,21751,"  54,31","  30,94",oui,00203,54.31,30.94
5,BECHTEL,Marie-Françoise,Mme,DVG,Divers gauche,21875,"  53,62","  27,69",oui,00204,53.62,27.69
6,LETRILLART,Isabelle,Mme,UMP,Union pour un Mouvement Populaire,18924,"  46,38","  23,95",non,00204,46.38,23.95
2,VASSEUR,Isabelle,Mme,UMP,Union pour un Mouvement Populaire,17761,"  36,70","  21,92",non,00205,36.7,21.92
3,KRABAL,Jacques,M.,RDG,Radical de Gauche,20427,"  42,21","  25,21",oui,00205,42.21,25.21
