NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,RapportExprimes,RapportInscrits
5,LARSONNEUR,Jean-Charles,M.,REM,La République en marche,18638,"  59,58","  23,98",oui,02902,59.58,23.98
4,LE GAC,Didier,M.,REM,La République en marche,22593,"  60,69","  25,30",oui,02903,60.69,25.3
7,BLEUNVEN,Jean-Luc,M.,DVG,Divers gauche,14633,"  39,31","  16,38",non,02903,39.31,16.38
7,LE FEUR,Sandrine,Mme,REM,La République en marche,19001,"  52,14","  23,13",oui,02904,52.14,23.13
11,DE CALAN,Maël,M.,LR,Les Républicains,17440,"  47,86","  21,23",non,02904,47.86,21.23
3,MELCHIOR,Graziella,Mme,REM,La République en marche,20957,"  53,89","  22,18",oui,02905,53.89,22.18
6,LECLERC,Patrick,M.,DVD,Divers droite,17930,"  46,11","  18,98",non,02905,46.11,18.98
3,NICOLAS,Gaëlle,Mme,LR,Les Républicains,16140,"  43,47","  18,08",non,02906,43.47,18.08
4,FERRAND,Richard,M.,REM,La République en marche,20991,"  56,53","  23,51",oui,02906,56.53,23.51
6,TANGUY,Liliane,Mme,REM,La République en marche,20611,"  62,95","  25,65",oui,02907,62.95,25.65
11,GUILLON,Didier,M.,LR,Les Républicains,12133,"  37,05","  15,10",non,02907,37.05,15.1
1,QUERNEZ,Michael,M.,SOC,Parti socialiste,17203,"  48,55","  19,73",non,02908,48.55,19.73
8,BALANANT,Erwan,M.,REM,La République en marche,18233,"  51,45","  20,91",oui,02908,51.45,20.91
1,GILLET,Yoann,M.,FN,Front National,14470,"  45,45","  16,64",non,03001,45.45,16.64
10,DUMAS,Françoise,Mme,REM,La République en marche,17365,"  54,55","  19,97",oui,03001,54.55,19.97
1,COLLARD,Gilbert,M.,FN,Front National,19834,"  50,16","  22,28",oui,03002,50.16,22.28
11,MARIE SARA,.,Mme,MDM,Modem,19711,"  49,84","  22,14",non,03002,49.84,22.14
7,TEZENAS DU MONTCEL,Monique,Mme,FN,Front National,15212,"  40,98","  16,26",non,03003,40.98,16.26
8,CELLIER,Anthony,M.,REM,La République en marche,21908,"  59,02","  23,42",oui,03003,59.02,23.42
2,ROULLAUD,Brigitte,Mme,FN,Front National,14375,"  41,79","  15,78",non,03004,41.79,15.78
11,CHAPELIER,Annie,Mme,REM,La République en marche,20027,"  58,21","  21,98",oui,03004,58.21,21.98
2,DE VIDO,Daniela,Mme,FN,Front National,13337,"  36,43","  13,92",non,03005,36.43,13.92
15,GAILLARD,Olivier,M.,REM,La République en marche,23268,"  63,57","  24,28",oui,03005,63.57,24.28
4,GARDET,Laurence,Mme,FN,Front National,11747,"  39,65","  14,47",non,03006,39.65,14.47
6,BERTA,Philippe,M.,REM,La République en marche,17879,"  60,35","  22,02",oui,03006,60.35,22.02
5,CABARE,Pierre,M.,REM,La République en marche,16203,"  51,02","  19,74",oui,03101,51.02,19.74
12,DUJARDIN,Claire,Mme,FI,La France insoumise,15556,"  48,98","  18,95",non,03101,48.98,18.95
8,STAMBACH-TERRENOIR,Anne,Mme,FI,La France insoumise,18113,"  44,51","  18,03",non,03102,44.51,18.03
10,LAGLEIZE,Jean-Luc,M.,MDM,Modem,22581,"  55,49","  22,47",oui,03102,55.49,22.47
1,VIGNON,Corinne,Mme,REM,La République en marche,16254,"  52,97","  20,81",oui,03103,52.97,20.81
6,ARRIBAGÉ,Laurence,Mme,LR,Les Républicains,14429,"  47,03","  18,47",non,03103,47.03,18.47
1,HOANG NGOC,Liem,M.,FI,La France insoumise,12650,"  48,09","  18,24",non,03104,48.09,18.24
13,NOGAL,Mickaël,M.,REM,La République en marche,13657,"  51,91","  19,69",oui,03104,51.91,19.69
6,LEONARDELLI,Julien,M.,FN,Front National,12504,"  32,40","  12,71",non,03105,32.4,12.71
9,PORTARRIEU,Jean-François,M.,REM,La République en marche,26091,"  67,60","  26,52",oui,03105,67.6,26.52
14,JIMENA,Patrick,M.,FI,La France insoumise,20483,"  44,13","  18,39",non,03106,44.13,18.39
16,IBORRA,Monique,Mme,REM,La République en marche,25934,"  55,87","  23,29",oui,03106,55.87,23.29
4,DOMBES,Marie,Mme,FN,Front National,12572,"  32,16","  12,60",non,03107,32.16,12.6
